Relation NBA,,,,,,,,,
Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,MP*PER
LeBron James33CLE,27.5,8.6,9.1,1.4,0.9,0.542,0.367,0.731,1055.34
James Harden28HOU,30.4,5.4,8.8,1.8,0.7,0.449,0.367,0.858,1054.92
Joel Embiid27PHI,30.6,11.7,4.2,1.1,1.5,0.499,0.371,0.814,1054.56
Michael Jordan*33CHI,29.6,5.9,4.3,1.7,0.5,0.486,0.374,0.833,1053.62
Anthony Davis24NOP,28.1,11.1,2.3,1.5,2.6,0.534,0.34,0.828,1051.96
Larry Bird*28BOS,28.7,10.5,6.6,1.6,1.2,0.522,0.427,0.882,1046.75
Shaquille O'Neal*25LAL,28.3,11.4,2.4,0.7,2.4,0.584,0,0.527,1045.44
Karl Malone*34UTA,27,10.3,3.9,1.2,0.9,0.53,0.333,0.761,1043.46
Kevin Garnett*29MIN,21.8,12.7,4.1,1.4,1.4,0.526,0.267,0.81,1042.52
Luka Dončić23DAL,32.4,8.6,8,1.4,0.5,0.496,0.342,0.742,1038.94
Elton Brand26LAC,24.7,10,2.6,1,2.5,0.527,0.333,0.775,1038.8
Adrian Dantley*25UTA,30.7,6.4,4,1.4,0.2,0.559,0.286,0.806,1037.61
Hakeem Olajuwon*31HOU,27.3,11.9,3.6,1.6,3.7,0.528,0.421,0.716,1037.3
David Robinson*26SAS,23.2,12.2,2.7,2.3,4.5,0.551,0.125,0.701,1036.75
Karl Malone*26UTA,31,11.1,2.8,1.5,0.6,0.562,0.372,0.762,1036.32
Kevin Durant21OKC,30.1,7.6,2.8,1.4,1,0.476,0.365,0.9,1034.9
David Robinson*25SAS,25.6,13,2.5,1.5,3.9,0.552,0.143,0.762,1032.98
Shaquille O'Neal*24LAL,26.2,12.5,3.1,0.9,2.9,0.557,0,0.484,1032.51
Hakeem Olajuwon*32HOU,27.8,10.8,3.5,1.8,3.4,0.517,0.188,0.756,1029.6
LeBron James32CLE,26.4,8.6,8.7,1.2,0.6,0.548,0.363,0.674,1020.6
Moses Malone*25HOU,27.8,14.8,1.8,1,1.9,0.522,0.333,0.757,1019.06
Dwyane Wade*28MIA,26.6,4.8,6.5,1.8,1.1,0.476,0.3,0.761,1016.4
Giannis Antetokounmpo24MIL,27.7,12.5,5.9,1.3,1.5,0.578,0.256,0.729,1013.52
Charles Barkley*23PHI,23,14.6,4.9,1.8,1.5,0.594,0.202,0.761,1011.53
Kevin Durant23OKC,28,8,3.5,1.3,1.2,0.496,0.387,0.86,1011.32
Dirk Nowitzki*26DAL,26.1,9.7,3.1,1.2,1.5,0.459,0.399,0.869,1010.07
Kevin Durant27OKC,28.2,8.2,5,1,1.2,0.505,0.387,0.898,1009.56
Tracy McGrady*24ORL,28,6,5.5,1.4,0.6,0.417,0.339,0.796,1009.47
Magic Johnson*29LAL,22.5,7.9,12.8,1.8,0.3,0.509,0.314,0.911,1008.75
Damian Lillard29POR,30,4.3,8,1.1,0.3,0.463,0.401,0.888,1008.75
Allen Iverson*25PHI,31.1,3.8,4.6,2.5,0.3,0.42,0.32,0.814,1008
Gilbert Arenas24WAS,29.3,3.5,6.1,2,0.3,0.447,0.369,0.82,1006.74
Allen Iverson*31PHI,31.2,2.7,7.3,2.2,0.1,0.413,0.226,0.885,1003.45
Grant Hill*24DET,21.4,9,7.3,1.8,0.6,0.496,0.303,0.711,1002.15
LeBron James22CLE,27.3,6.7,6,1.6,0.7,0.476,0.319,0.698,1002.05
Kobe Bryant*22LAL,28.5,5.9,5,1.7,0.6,0.464,0.305,0.853,1002.05
Giannis Antetokounmpo23MIL,26.9,10,4.8,1.5,1.4,0.529,0.307,0.76,1001.91
Russell Westbrook26OKC,28.1,7.3,8.6,2.1,0.2,0.426,0.299,0.835,1001.04
Chris Webber*27SAC,27.1,11.1,4.2,1.3,1.7,0.481,0.071,0.703,1000.35
Anthony Davis25NOP,25.9,12,3.9,1.6,2.4,0.517,0.331,0.794,999.9
Karl Malone*27UTA,29,11.8,3.3,1.1,1,0.527,0.286,0.77,999.44
Dirk Nowitzki*28DAL,24.6,8.9,3.4,0.7,0.8,0.502,0.416,0.904,999.12
Tracy McGrady*21ORL,26.8,7.5,4.6,1.5,1.5,0.457,0.355,0.733,998.49
Dirk Nowitzki*24DAL,25.1,9.9,3,1.4,1,0.463,0.379,0.881,998.4
James Harden27HOU,29.1,8.1,11.2,1.5,0.5,0.44,0.347,0.847,997.36
Patrick Ewing*27NYK,28.6,10.9,2.2,1,4,0.551,0.25,0.775,995.88
Anthony Davis23NOP,28,11.8,2.1,1.3,2.2,0.505,0.299,0.802,992.75
Vince Carter24TOR,27.6,5.5,3.9,1.5,1.1,0.46,0.408,0.765,992.5
Tim Duncan*27SAS,22.3,12.4,3.1,0.9,2.7,0.501,0.167,0.599,991.86
Kevin Love23MIN,26,13.3,2,0.9,0.5,0.448,0.372,0.824,990.6
Karl Malone*29UTA,27,11.2,3.8,1.5,1,0.552,0.2,0.74,990.36
Magic Johnson*30LAL,22.3,6.6,11.5,1.7,0.4,0.48,0.384,0.89,989.52
Hakeem Olajuwon*33HOU,26.9,10.9,3.6,1.6,2.9,0.514,0.214,0.724,989.4
Michael Jordan*21CHI,28.2,6.5,5.9,2.4,0.8,0.515,0.173,0.845,988.14
Karl Malone*32UTA,25.7,9.8,4.2,1.7,0.7,0.519,0.4,0.723,988
Gary Payton*31SEA,24.2,6.5,8.9,1.9,0.2,0.448,0.34,0.735,986.48
Adrian Dantley*27UTA,30.7,6.4,4.8,0.9,0,0.58,0,0.847,983.32
Chris Paul26LAC,19.8,3.6,9.1,2.5,0.1,0.478,0.371,0.861,982.8
James Harden25HOU,27.4,5.7,7,1.9,0.7,0.44,0.375,0.868,982.56
Dwight Howard25ORL,22.9,14.1,1.4,1.4,2.4,0.593,0,0.596,981.36
Allen Iverson*29PHI,30.7,4,7.9,2.4,0.1,0.424,0.308,0.835,981.36
Magic Johnson*27LAL,23.9,6.3,12.2,1.7,0.5,0.522,0.205,0.848,980.1
LeBron James31CLE,25.3,7.4,6.8,1.4,0.6,0.52,0.309,0.731,979
Michael Jordan*34CHI,28.7,5.8,3.5,1.7,0.5,0.465,0.238,0.784,977.76
Metta World Peace25IND,24.6,6.4,3.1,1.7,0.9,0.496,0.412,0.922,977.6
Kevin Love25MIN,26.1,12.5,4.4,0.8,0.5,0.457,0.376,0.821,976.47
LeBron James37LAL,30.3,8.2,6.2,1.3,1.1,0.524,0.359,0.756,974.64
Charles Barkley*29PHO,25.6,12.2,5.1,1.6,1,0.52,0.305,0.765,973.84
Karl Malone*36UTA,25.5,9.5,3.7,1,0.9,0.509,0.25,0.797,972.89
Larry Bird*29BOS,25.8,9.8,6.8,2,0.6,0.496,0.423,0.896,972.8
Giannis Antetokounmpo25MIL,29.5,13.6,5.6,1,1,0.553,0.304,0.633,969.76
Damian Lillard32POR,32.2,4.8,7.3,0.9,0.3,0.463,0.371,0.914,969.21
Kareem Abdul-Jabbar*32LAL,24.8,10.8,4.5,1,3.4,0.604,0,0.765,968.99
Shai Gilgeous-Alexander24OKC,31.4,4.8,5.5,1.6,1,0.51,0.345,0.905,965.6
Tim Duncan*23SAS,23.2,12.4,3.2,0.9,2.2,0.49,0.091,0.761,964.72
James Harden26HOU,29,6.1,7.5,1.7,0.6,0.439,0.359,0.86,963.93
Giannis Antetokounmpo26MIL,28.1,11,5.9,1.2,1.2,0.569,0.303,0.685,963.6
Adrian Dantley*26UTA,30.3,6.3,4,1.2,0.2,0.57,0.333,0.792,963.16
David Robinson*24SAS,24.3,12,2,1.7,3.9,0.531,0,0.732,962.58
Ray Allen*27SEA,24.5,5.6,5.9,1.6,0.1,0.441,0.351,0.92,962.29
Tracy McGrady*22ORL,25.6,7.9,5.3,1.6,1,0.451,0.364,0.748,961.33
Amar'e Stoudemire22PHO,26,8.9,1.6,1,1.6,0.559,0.188,0.733,960.26
Karl-Anthony Towns21MIN,25.1,12.3,2.7,0.7,1.3,0.542,0.367,0.832,958.3
